BasePizza;Impasto;Ingredienti
Pepperoni;Normale;Funghi, Crudo
Napoletana;Normale;Prosciutto cotto, Crudo
Napoletana;Integrale;Prosciutto cotto, Crudo
Margherita;Integrale;Crudo, Ananas
Margherita;Integrale;Prosciutto cotto, Crudo
Napoletana;Normale;Funghi
Pepperoni;Integrale;Prosciutto cotto, Funghi, Crudo, Ananas
Pepperoni;Normale;Crudo, Ananas
Napoletana;Integrale;Funghi
Pepperoni;Normale;Prosciutto cotto, Funghi, Crudo, Ananas
Pepperoni;Integrale;Prosciutto cotto
Margherita;Integrale;Crudo, Ananas
Pepperoni;Normale;Funghi, Crudo
Pepperoni;Normale;Prosciutto cotto, Crudo
Napoletana;Integrale;Prosciutto cotto, Crudo
Pepperoni;Normale;Funghi, Crudo
Napoletana;Normale;Prosciutto cotto, Crudo
Napoletana;Integrale;Ananas
Pepperoni;Integrale;Prosciutto cotto, Funghi, Crudo, Ananas
Napoletana;Integrale;Funghi
Margherita;Normale;Crudo, Ananas
Margherita;Normale;Crudo, Ananas
Napoletana;Normale;Funghi, Crudo
Margherita;Integrale;Ananas
Pepperoni;Integrale;Prosciutto cotto, Crudo
Pepperoni;Integrale;Prosciutto cotto, Crudo
Margherita;Integrale;Prosciutto cotto
Margherita;Normale;Crudo, Ananas
Margherita;Normale;Prosciutto cotto, Crudo
Margherita;Integrale;Prosciutto cotto, Funghi, Crudo, Ananas
Napoletana;Normale;Prosciutto cotto, Crudo
Pepperoni;Integrale;Funghi, Crudo
Margherita;Integrale;Funghi, Crudo
Pepperoni;Normale;Crudo, Ananas
Margherita;Normale;Ananas
Margherita;Integrale;Funghi, Crudo
Pepperoni;Integrale;Prosciutto cotto
Margherita;Integrale;Prosciutto cotto, Crudo
Pepperoni;Normale;Funghi
Pepperoni;Normale;Crudo, Ananas
Margherita;Normale;Prosciutto cotto, Crudo
Margherita;Normale;Funghi, Crudo
Margherita;Normale;Prosciutto cotto, Funghi, Crudo, Ananas
Napoletana;Integrale;Funghi
Pepperoni;Normale;Prosciutto cotto, Funghi, Crudo, Ananas
Pepperoni;Integrale;Prosciutto cotto
Margherita;Normale;Crudo, Ananas
Napoletana;Normale;Prosciutto cotto, Crudo
Margherita;Integrale;Prosciutto cotto, Funghi, Crudo, Ananas
Pepperoni;Normale;Prosciutto cotto, Crudo
