BasePizza;Impasto;Ingredienti
Napoletana;Integrale;Prosciutto cotto, Crudo
Napoletana;Normale;Crudo, Ananas
Margherita;Normale;Crudo, Ananas
Margherita;Integrale;Funghi
Pepperoni;Integrale;Prosciutto cotto, Crudo
Pepperoni;Integrale;Funghi, Crudo
Napoletana;Integrale;Funghi, Crudo
Napoletana;Integrale;Prosciutto cotto
Pepperoni;Integrale;Funghi, Crudo
Pepperoni;Normale;Prosciutto cotto, Crudo
Pepperoni;Integrale;Funghi
Margherita;Integrale;Funghi, Crudo
Margherita;Integrale;Prosciutto cotto, Funghi, Crudo, Ananas
Pepperoni;Integrale;Prosciutto cotto, Crudo
Margherita;Integrale;Prosciutto cotto
Pepperoni;Normale;Crudo, Ananas
Pepperoni;Integrale;Prosciutto cotto, Funghi, Crudo, Ananas
Napoletana;Integrale;Prosciutto cotto, Funghi, Crudo, Ananas
Margherita;Normale;Funghi, Crudo
Pepperoni;Normale;Prosciutto cotto
Margherita;Integrale;Prosciutto cotto, Crudo
Margherita;Normale;Prosciutto cotto, Funghi, Crudo, Ananas
Margherita;Normale;Funghi, Crudo
Margherita;Integrale;Prosciutto cotto
Margherita;Integrale;Ananas
Margherita;Normale;Funghi
Napoletana;Integrale;Prosciutto cotto, Crudo
Napoletana;Normale;Prosciutto cotto, Funghi, Crudo, Ananas
Napoletana;Normale;Crudo, Ananas
Pepperoni;Normale;Crudo, Ananas
Pepperoni;Normale;Prosciutto cotto, Funghi, Crudo, Ananas
Pepperoni;Normale;Crudo, Ananas
Napoletana;Normale;Prosciutto cotto
Margherita;Integrale;Prosciutto cotto
Margherita;Normale;Prosciutto cotto
Napoletana;Integrale;Prosciutto cotto, Funghi, Crudo, Ananas
Pepperoni;Normale;Funghi, Crudo
Margherita;Normale;Prosciutto cotto
Margherita;Normale;Prosciutto cotto, Crudo
Margherita;Normale;Funghi, Crudo
Pepperoni;Integrale;Prosciutto cotto, Crudo
Napoletana;Normale;Ananas
Margherita;Normale;Prosciutto cotto, Funghi, Crudo, Ananas
Pepperoni;Integrale;Funghi, Crudo
Margherita;Normale;Prosciutto cotto, Crudo
Napoletana;Integrale;Crudo, Ananas
Napoletana;Integrale;Prosciutto cotto, Crudo
Pepperoni;Integrale;Prosciutto cotto, Funghi, Crudo, Ananas
Pepperoni;Integrale;Prosciutto cotto
Pepperoni;Integrale;Prosciutto cotto, Crudo
